黄川田徹,岩手県 3区,民進党
黄川田仁志,埼玉県 3区,自民党
菊田真紀子,北陸信越ブロック,民進党
岸田文雄,広島県 1区,自民党
岸信夫,山口県 2区,自民党
岸本周平,和歌山県 1区,民進党
北神圭朗,近畿ブロック,民進党
北側一雄,大阪府 16区,公明党
北川知克,大阪府 12区,自民党
北村茂男,石川県 3区,自民党
北村誠吾,長崎県 4区,自民党
木下智彦,近畿ブロック,日本維新の会
木原誠二,東京都 20区,自民党
木原稔,熊本県 1区,自民党
木村弥生,北関東ブロック,自民党
吉良州司,大分県 1区,民進党
工藤彰三,愛知県 4区,自民党
國重徹,大阪府 5区,公明党
熊田裕通,愛知県 1区,自民党
黒岩宇洋,新潟県 3区,民進党
玄葉光一郎,福島県 3区,民進党
小泉進次郎,神奈川県 11区,自民党
小泉龍司,埼玉県 11区,無所属
河野太郎,神奈川県 15区,自民党
高村正彦,山口県 1区,自民党
古賀篤,福岡県 3区,自民党
穀田恵二,近畿ブロック,共産党
國場幸之助,九州ブロック,自民党
輿水恵一,北関東ブロック,公明党
小島敏文,中国ブロック,自民党
小林鷹之,千葉県 2区,自民党
小林史明,広島県 7区,自民党
小松裕,北陸信越ブロック,自民党
小宮山泰子,北関東ブロック,民進党
小山展弘,東海ブロック,民進党
近藤昭一,愛知県 3区,民進党
近藤洋介,東北ブロック,民進党
今野智博,北関東ブロック,自民党
後藤茂之,長野県 4区,自民党
後藤田正純,徳島県 1区,自民党
後藤祐一,神奈川県 16区,希望の党
斉藤和子,南関東ブロック,共産党
齋藤健,千葉県 7区,自民党
斉藤鉄夫,中国ブロック,公明党
斎藤洋明,北陸信越ブロック,自民党
坂井学,神奈川県 5区,自民党
坂本哲志,熊本県 3区,自民党
坂本祐之輔,北関東ブロック,民進党
櫻田義孝,千葉県 8区,自民党
笹川博義,群馬県 3区,自民党
佐々木隆博,北海道 6区,民進党
佐々木紀,石川県 2区,自民党
佐田玄一郎,群馬県 1区,自民党
左藤章,大阪府 2区,自民党
佐藤茂樹,大阪府 3区,公明党
佐藤勉,栃木県 4区,自民党
佐藤英道,北海道ブロック,公明党
佐藤ゆかり,大阪府 11区,自民党
志位和夫,南関東ブロック,共産党
椎木保,近畿ブロック,日本維新の会
塩川鉄也,北関東ブロック,共産党
塩崎恭久,愛媛県 1区,自民党
塩谷立,静岡県 8区,自民党
重徳和彦,愛知県 12区,民進党
階猛,岩手県 1区,民進党
篠原豪,南関東ブロック,民進党
篠原孝,長野県 1区,民進党
柴山昌彦,埼玉県 8区,自民党
島田佳和,東海ブロック,自民党
島津幸広,東海ブロック,共産党
清水忠史,近畿ブロック,共産党
下地幹郎,九州ブロック,日本維新の会
下村博文,東京都 11区,自民党
白須賀貴樹,千葉県 13区,自民党
新谷正義,中国ブロック,自民党
新藤義孝,埼玉県 2区,自民党
