	梅村さえこ	共産	現職		北関東ブロック						
Q11558377	浦野靖人	維新	現職		近畿ブロック	男性	1973-04-04				
Q8056255	漆原良夫	公明	現職		北陸信越ブロック	男性	1944-11-18				
	江崎鐵磨	自民	現職	23	愛知県 10区						
Q6389323	江田憲司	民進	現職	14	神奈川県 8区	男性	1956-04-28	edaoffice	https://facebook.com/edakenji		
Q732087	枝野幸男	民進	現職	11	埼玉県 5区	男性	1964-05-31				
Q8050128	江田康幸	公明	現職		九州ブロック	男性	1956-03-19				
Q49999	江渡聡徳	自民	現職	2	青森県 2区	男性	1955-10-12	ETO_Akinori			
Q405527	衛藤征士郎	自民	現職	44	大分県 2区	男性	1941-04-29				
Q7678527	江藤拓	自民	現職	45	宮崎県 2区	男性	1960-07-01				
Q11642258	遠藤敬	維新	現職	27	大阪府 18区	男性	1968-06-06				
Q7827620	遠藤利明	自民	現職	6	山形県 1区	男性	1950-01-01		https://facebook.com/endo.toshiaki0117		
Q11434738	大岡敏孝	自民	現職	25	滋賀県 1区	男性	1972-04-16				
Q20039047	大隈和英	自民	現職		近畿ブロック	男性	1969-08-23				
Q5771003	大串博志	民進	現職		九州ブロック	男性	1965-08-31				
Q11431868	大串正樹	自民	現職	28	兵庫県 6区	男性	1966-01-20				
Q11433281	大口善徳	公明	現職		東海ブロック	男性	1955-09-05				
Q7446737	逢坂誠二	民進	現職	1	北海道 8区	男性	1959-04-24				
Q4817826	大島敦	民進	現職	11	埼玉県 6区	男性	1956-01-01				
Q49998	大島理森	自民	現職	2	青森県 3区	男性	1946-09-06	tadamori_oshima			
Q337406	太田昭宏	公明	現職	13	東京都 12区	男性	1945-10-06	teamohta	https://facebook.com/teamohta		
Q16264722	太田和美	民進	現職		南関東ブロック	男性	1973-01-06				
Q7677366	大塚高司	自民	現職	27	大阪府 8区	男性	1964-09-11				
Q7678536	大塚拓	自民	現職	11	埼玉県 9区	男性	1973-06-14				
Q11438832	大西健介	民進	現職	23	愛知県 13区	男性	1971-04-13				
Q11438916	大西英男	自民	現職	13	東京都 16区	男性	1946-08-28				
Q20039110	大西宏幸	自民	現職		近畿ブロック	男性	1967-07-15				
Q11439619	大野敬太郎	自民	現職	37	香川県 3区	男性	1968-11-01				
Q418119	大畠章宏	民進	現職	8	茨城県 5区	男性	1947-10-05				
Q11435274	大平喜信	共産	現職		中国ブロック	男性	1948-02-04				重複注意
Q30144920	大平喜信	共産	現職		中国ブロック	男性	1978-02-28				重複注意
	大見正	自民	現職		東海ブロック						
Q20039172	岡下昌平	自民	現職		近畿ブロック	男性	1975-03-08				
Q513317	岡田克也	民進	現職	24	三重県 3区	男性	1953-07-14	okada_katsuya	https://facebook.com/katsuyaokada		
Q16264927	岡本三成	公明	現職		北関東ブロック	男性	1965-05-05				
Q6883317	岡本充功	民進	現職		東海ブロック	男性	1971-06-18				
Q6140382	緒方林太郎	民進	現職		九州ブロック	男性	1973-01-08				
Q6314413	小川淳也	民進	現職		四国ブロック	男性	1971-01-01				
Q7497769	奥野信亮	自民	現職	29	奈良県 3区	男性	1944-03-05				
Q11446165	奥野総一郎	民進	現職		南関東ブロック	男性	1964-07-15				
Q11462766	小熊慎司	民進	現職	7	福島県 4区	男性	1968-06-16				
Q11458942	小倉將信	自民	現職	13	東京都 23区	男性	1981-05-30				
Q5637084	小此木八郎	自民	現職	14	神奈川県 3区	男性	1965-06-22		https://facebook.com/hachirouokonogi		
Q8049988	小里泰弘	自民	現職	46	鹿児島県 4区	男性	1958-09-29				
Q459998	小沢一郎	自由	現職	3	岩手県 4区	男性	1942-05-24	ozawa_jimusho			
Q978256	小沢鋭仁	維新	現職		近畿ブロック	男性	1954-05-31	OzawaSakihito			
Q11462993	小田原潔	自民	現職	13	東京都 21区	男性	1964-05-23				
Q18700919	落合貴之	民進	現職		東京ブロック	男性	1979-08-17				
Q7677226	越智隆雄	自民	現職	13	東京都 6区	男性	1964-02-27	ochitakao	https://facebook.com/takao.ochi.9		
	鬼木誠	自民	現職	40	福岡県 2区						
Q49969	小野寺五典	自民	現職	4	宮城県 6区	男性	1960-05-05	itsunori510			
Q455848	小渕優子	自民	現職	10	群馬県 5区	女性	1973-12-11				
Q11465449	尾身朝子	自民	現職		北関東ブロック	女性	1961-04-26				
Q11535033	柿沢未途	無所属	現職	13	東京都 15区	男性	1971-01-21	310kakizawa	https://facebook.com/mito.kakizawa		
Q4701145	笠井亮	共産	現職		東京ブロック	男性	1952-10-15	akibacsi			
Q5770884	梶山弘志	自民	現職	8	茨城県 4区	男性	1955-01-01				
Q11400372	勝沼栄明	自民	現職		東北ブロック	男性	1974-11-26				
Q11400147	勝俣孝明	自民	現職		東海ブロック	男性	1976-04-07				
Q18701018	加藤鮎子	自民	現職	6	山形県 3区	女性	1979-04-19				
Q6378155	加藤勝信	自民	現職	33	岡山県 5区	男性	1955-11-22		https://facebook.com/katsunobu.kato.7		
Q11399158	加藤寛治	自民	現職	42	長崎県 2区	男性	1870-10-26				
Q11654965	門博文	自民	現職		近畿ブロック	男性	1965-08-18				
Q16769971	門山宏哲	自民	現職		南関東ブロック	男性	1964-09-03				
	金子恵美	民進	現職		東北ブロック						
Q382231	金子一義	自民	現職	21	岐阜県 4区	男性	1942-12-20				
Q16770033	金子万寿夫	自民	現職	46	鹿児島県 2区	男性	1947-01-11				
	金子恵美	自民	現職	15	新潟県 4区						
Q8050092	金子恭之	自民	現職	43	熊本県 5区	男性	1961-02-27	nekotanchan			
Q11647681	金田勝年	自民	現職	5	秋田県 2区	男性	1949-10-04		https://facebook.com/kaneda.katsutoshi		
Q276275	上川陽子	自民	現職	22	静岡県 1区	女性	1953-03-01				
Q20039502	神谷昇	自民	現職		近畿ブロック	男性	1949-04-12				
	神山佐市	自民	現職	11	埼玉県 7区						
Q11589542	神山洋介	民進	現職		南関東ブロック	男性	1975-05-24				
Q1133463	亀井静香	無所属	現職	34	広島県 6区	男性	1936-11-01	kamei_shizuka	https://facebook.com/1511505699135823		
Q8056299	亀岡偉民	自民	現職	7	福島県 1区	男性	1955-01-01	kameokayositami	https://facebook.com/yoshitami.kameoka		
Q730991	鴨下一郎	自民	現職	13	東京都 13区	男性	1949-01-16				
Q11553342	河井克行	自民	現職	34	広島県 3区	男性	1963-03-11				
Q1689655	川崎二郎	自民	現職	24	三重県 1区	男性	1947-11-15				
	河野正美	維新	現職		九州ブロック						
Q1131518	川端達夫	民進	現職		近畿ブロック	男性	1945-01-24				
Q382311	河村建夫	自民	現職	35	山口県 3区	男性	1942-11-10	takeokawamura			
Q11619261	菅家一郎	自民	現職		東北ブロック	男性	1955-05-20				
Q11590601	神田憲次	自民	現職		東海ブロック	男性	1963-02-19				
Q47846	菅直人	民進	現職		東京ブロック	男性	1946-10-10	NaotoKan	https://facebook.com/naoto.kan		
Q11518163	木内孝胤	希望	現職		東京ブロック	男性	1966-08-30				
Q11518159	木内均	自民	現職		北陸信越ブロック	男性	1964-08-03				
Q11425985	城内実	自民	現職	22	静岡県 7区	男性	1965-04-19				
Q7827415	黄川田徹	民進	現職	3	岩手県 3区	男性	1953-10-14				
Q11677736	黄川田仁志	自民	現職	11	埼玉県 3区	男性	1970-10-13				
Q6739516	菊田真紀子	民進	現職		北陸信越ブロック	女性	1969-10-24				
Q359480	岸田文雄	自民	現職	34	広島県 1区	男性	1957-07-29		https://facebook.com/fkishida		
Q1995125	岸信夫	自民	現職	35	山口県 2区	男性	1959-04-01	KishiNobuo	https://facebook.com/kishinobuo		
Q11475894	岸本周平	民進	現職	30	和歌山県 1区	男性	1956-07-12				
Q6383814	北神圭朗	民進	現職		近畿ブロック	男性	1967-02-01				
Q6381645	北側一雄	公明	現職	27	大阪府 16区	男性	1953-03-02	kitagawa_kazuo	https://facebook.com/kitagawasakai		
Q265174	北川知克	自民	現職	27	大阪府 12区	男性	1951-11-08				
Q7496361	北村茂男	自民	現職	17	石川県 3区	男性	1945-11-08				
Q7446686	北村誠吾	自民	現職	42	長崎県 4区	男性	1947-01-29				
Q11518048	木下智彦	維新	現職		近畿ブロック	男性	1969-04-30				
Q11518222	木原誠二	自民	現職	13	東京都 20区	男性	1970-01-01				
Q11518220	木原稔	自民	現職	43	熊本県 1区	男性	1969-01-01	kihara_minoru	https://facebook.com/Kihara.Minoru		
Q20039675	木村弥生	自民	現職		北関東ブロック	女性	1965-08-11				
Q7504802	吉良州司	民進	現職	44	大分県 1区	男性	1958-03-16				
Q11479573	工藤彰三	自民	現職	23	愛知県 4区	男性	1964-12-08				
Q11422753	國重徹	公明	現職	27	大阪府 5区	男性	1974-11-23				
