茂木敏充,栃木県 5区,自民
尾身朝子,群馬県 1区,自民
佐田玄一郎,群馬県 1区,自民
店橋世津子,群馬県 1区,共産
中曽根康隆,群馬県 1区,無所属
宮崎岳志,群馬県 1区,民進
石関貴史,群馬県 2区,民進
井野俊郎,群馬県 2区,自民
長谷田直之,群馬県 2区,共産
笹川博義,群馬県 3区,自民
渋沢哲男,群馬県 3区,共産
長谷川嘉一,群馬県 3区,民進
萩原貞夫,群馬県 4区,共産
福田達夫,群馬県 4区,自民
不破弘樹,群馬県 4区,民進
伊藤達也,群馬県 5区,共産
小渕優子,群馬県 5区,自民
高橋宣之,群馬県 5区,社民
武正公一,埼玉県 1区,民進
鳥羽恵,埼玉県 1区,共産
村井英樹,埼玉県 1区,自民
新藤義孝,埼玉県 2区,自民
菅克己,埼玉県 2区,民進
平川道也,埼玉県 2区,共産
飯田剛,埼玉県 3区,幸福
黄川田仁志,埼玉県 3区,自民
平野厚子,埼玉県 3区,共産
山川百合子,埼玉県 3区,民進
青柳仁士,埼玉県 4区,維新
朝賀英義,埼玉県 4区,共産
豊田真由子,埼玉県 4区,無所属
穂坂泰,埼玉県 4区,自民
吉田芳朝,埼玉県 4区,民進
枝野幸男,埼玉県 5区,民進
牧原秀樹,埼玉県 5区,自民
山本悠子,埼玉県 5区,共産
大島敦,埼玉県 6区,民進
戸口佐一,埼玉県 6区,共産
中根一幸,埼玉県 6区,自民
神山佐市,埼玉県 7区,自民
小宮山泰子,埼玉県 7区,民進
長沼チネ,埼玉県 7区,共産
小野塚勝俊,埼玉県 8区,民進
柴山昌彦,埼玉県 8区,自民
辻源巳,埼玉県 8区,共産
大塚拓,埼玉県 9区,自民
神田三春,埼玉県 9区,共産
杉村慎治,埼玉県 9区,民進
坂本祐之輔,埼玉県 10区,民進
清水正之,埼玉県 10区,共産
山口泰明,埼玉県 10区,自民
小泉龍司,埼玉県 11区,無所属
今野智博,埼玉県 11区,自民
柴岡祐真,埼玉県 11区,共産
野中厚,埼玉県 12区,自民
林秀洋,埼玉県 12区,共産
森田俊和,埼玉県 12区,民進
赤岸雅治,埼玉県 13区,共産
池田万佐代,埼玉県 13区,社民
土屋品子,埼玉県 13区,自民
三角創太,埼玉県 13区,民進
鈴木義弘,埼玉県 14区,民進
苗村京子,埼玉県 14区,共産
榛野博,埼玉県 14区,維新
三ツ林裕巳,埼玉県 14区,自民
梅村早江子,埼玉県 15区,共産
高山智司,埼玉県 15区,民進
